company_slug,company,insurance_type,product,status,path,pages,bytes,sha256,http_status,content_type,collected_at,source_url,landing_page,error
hanwha-life,Hanwha Life Insurance,cancer,한화생명 e시그니처암보험 무배당 약관,verified-pdf,docs/policy/hanwha-life/cancer/31-hanwha-life-cancer.pdf,166,4429410,a311d3a66e001944adf45cc0e8830b1680bfdeefce56bee11b3a4ea77ecdc222,200,application/pdf,2026-08-03,https://direct.hanwhalife.com/products/downloadProxy/%ED%95%9C%ED%99%94%EC%83%9D%EB%AA%85%20e%EC%8B%9C%EA%B7%B8%EB%8B%88%EC%B2%98%EC%95%94%EB%B3%B4%ED%97%98%20%EB%AC%B4%EB%B0%B0%EB%8B%B9_%EC%95%BD%EA%B4%80_20250106.pdf?docUrl=dynamic/direct/product/cms_K86hzsQGOOnVEFlC_1736169011449.pdf,https://direct.hanwhalife.com/,
hanwha-life,Hanwha Life Insurance,term,한화생명 e정기보험 무배당 약관,verified-pdf,docs/policy/hanwha-life/term/32-hanwha-life-term.pdf,190,3819798,7ff8c75bfa8a1ada8c3077bd66080b6460ba5848e1440b17e60d98d9ef68372d,200,application/pdf,2026-08-03,https://direct.hanwhalife.com/products/downloadProxy/%ED%95%9C%ED%99%94%EC%83%9D%EB%AA%85%20e%EC%A0%95%EA%B8%B0%EB%B3%B4%ED%97%98%20%EB%AC%B4%EB%B0%B0%EB%8B%B9_%EC%95%BD%EA%B4%80_20260417.pdf?docUrl=dynamic/direct/product/cms_odIN6hkhR1w3xURZ_1776383301736.pdf,https://direct.hanwhalife.com/,
hanwha-life,Hanwha Life Insurance,annuity,한화생명 e연금보험 무배당 약관,verified-pdf,docs/policy/hanwha-life/annuity/33-hanwha-life-annuity.pdf,159,3201265,4963ca85e6b9e5ca8b00d8cd4e090d92bf54f6ed6b5ec0fa06a944bef5e35571,200,application/pdf,2026-08-03,https://direct.hanwhalife.com/products/downloadProxy/%ED%95%9C%ED%99%94%EC%83%9D%EB%AA%85%20e%EC%97%B0%EA%B8%88%EB%B3%B4%ED%97%98%20%EB%AC%B4%EB%B0%B0%EB%8B%B9_%EC%95%BD%EA%B4%80_20250919.pdf?docUrl=dynamic/direct/product/cms_p4X1ZDiKuQuLmciz_1758270115396.pdf,https://direct.hanwhalife.com/,
shinhan-life,Shinhan Life Insurance,dementia-ltc,신한치매간병보험 ONE더케어 약관,verified-pdf,docs/policy/shinhan-life/dementia-ltc/34-shinhan-life-dementia-ltc.pdf,844,6460631,441dec4d08e9144dcca3125ca3c835d358569b918f06329317895a4e7a0790ce,200,application/pdf,2026-08-03,"https://www.shinhanlife.co.kr/bizxpress/cdh/cdhi/gd/pr/__etc/SHL0417_%EC%8B%A0%ED%95%9C%EC%B9%98%EB%A7%A4%EA%B0%84%EB%B3%91%EB%B3%B4%ED%97%98%20ONE%EB%8D%94%EC%BC%80%EC%96%B4(%EB%AC%B4%EB%B0%B0%EB%8B%B9,%20%ED%95%B4%EC%95%BD%ED%99%98%EA%B8%89%EA%B8%88%20%EB%AF%B8%EC%A7%80%EA%B8%89%ED%98%95).pdf",https://www.shinhanlife.co.kr/hp/cdhb0040.do,
kb-insurance,KB Insurance,liability,KB 개인안심종합보험 배상책임 약관,verified-pdf,docs/policy/kb-insurance/liability/35-kb-insurance-liability.pdf,98,767928,f61d79dea5b42766f4003d66a82d6c114dceef0c5aa27af81e7e7197819306e2,200,application/pdf,2026-08-03,https://www.kbinsure.co.kr/images/xml/indv_safe_indem/clause/clause.pdf,https://www.kbinsure.co.kr/CG802030001.ec,
kb-insurance,KB Insurance,liability,KB 일반보험 약관 14150,verified-pdf,docs/policy/kb-insurance/liability/36-kb-insurance-liability.pdf,29,275342,eb9c24bfc0619e24c48043b25c4f203e6742c249be6d07ec233738a2ab474ef7,200,application/pdf,2026-08-03,https://www.kbinsure.co.kr/images/clause/gnins/internet_14150.pdf,https://www.kbinsure.co.kr/CG802030001.ec,
db-insurance,DB Insurance,cyber,피싱·해킹 금융사기보상보험,not-pdf,docs/policy/db-insurance/cyber/17-db-insurance-cyber.pdf,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,200,,2026-08-03,https://www.idbins.com/cYakgwanDown.do?FilePath=InsProduct/20250901_%ED%94%BC%EC%8B%B1%C2%B7%ED%95%B4%ED%82%B9%20%EA%B8%88%EC%9C%B5%EC%82%AC%EA%B8%B0%EB%B3%B4%EC%83%81%EB%B3%B4%ED%97%98%28%ED%99%88%ED%8E%98%EC%9D%B4%EC%A7%80%29.pdf,https://www.idbins.com/FWMAIV1534.do,
meritz-fire,Meritz Fire & Marine Insurance,driver,무배당 메리츠 운전자 상해 종합보험2607,not-pdf,docs/policy/meritz-fire/driver/23-meritz-fire-driver.pdf,,120,474568fefa618c1790878549d3347f084e626fe801c4813a87a7b8a49ef0d189,200,text/html,2026-08-03,https://store.meritzfire.com/hp/fileDownload.do?path=lHYyCOSDi%2BMpi0iXZBRrBLG%2FNN5NytLV7VIWIRGMZtP4Wzeqgs8f0gVmawUP3eGp&id=lHYyCOSDi%2BMpi0iXZBRrBLG%2FNN5NytLV7VIWIRGMZtP4Wzeqgs8f0gVmawUP3eGp&orgFileName=6AFIK_20260713.pdf&pdfView=Y,https://store.meritzfire.com/auto-and-driver/all-lifecare-driver.do#!/,
aig-korea,AIG Korea,accident,AIG 상해보험 보통약관 (2009.04),verified-pdf,docs/policy/aig-korea/accident/37-aig-korea-accident.pdf,14,270408,dfa993efbf047b0a39d83eb9271ba76b1dcf639efe771556e22cd95a2a2f2296,200,application/octet-stream; charset=UTF-8,2026-08-03,https://m.aig.co.kr/downLoadFiles.do?fileId=6011&fileSeq=1&fileType=&fileGb=&viewType=,https://www.aig.co.kr/wm/content.html?contentId=DPWMS701,
db-insurance,DB Insurance,cyber,피싱·해킹 금융사기보상보험,not-pdf,docs/policy/db-insurance/cyber/17-db-insurance-cyber.pdf,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,200,,2026-08-03,https://www.idbins.com/cYakgwanDown.do?FilePath=InsProduct/20250901_%ED%94%BC%EC%8B%B1%C2%B7%ED%95%B4%ED%82%B9%20%EA%B8%88%EC%9C%B5%EC%82%AC%EA%B8%B0%EB%B3%B4%EC%83%81%EB%B3%B4%ED%97%98%28%ED%99%88%ED%8E%98%EC%9D%B4%EC%A7%80%29.pdf,https://www.idbins.com/FWMAIV1534.do,
